car_reg,purchase_date,year,month,county,make,model,type,colour,tax_band,price
201-C-737,2020-07-03,2020,3,GALWAY,TOYOTA,PRIUS,HATCHBACK,RED,B,36617.0
201-C-1586,2019-01-03,2019,3,CORK,BMW,3 SERIES,SALOON,SILVER,B,56298.0
201-D-3155,2019-03-05,2019,5,DUBLIN,BMW,3 SERIES,ESTATE,SILVER,B,49355.0
202-L-2592,2020-07-17,2020,7,LIMERICK,BMW,2 SERIES,COUPE,BLUE,B,77807.0
201-C-3425,2018-10-01,2018,1,CORK,BMW,3 SERIES,HATCHBACK,WHITE,C,60035.0
201-D-2146,2020-02-26,2020,2,DUBLIN,OPEL,INSIGNIA,HATCHBACK,WHITE,B,38162.0
182-G-852,2018-09-07,2018,7,GALWAY,BMW,3 SERIES,ESTATE,SILVER,B,70809.0
192-W-2459,2019-07-22,2019,7,GALWAY,AUDI,A6,SALOON,WHITE,C,66626.0
182-L-4462,2018-10-07,2018,7,LIMERICK,TOYOTA,YARIS,HATCHBACK,SILVER,A,15449.0
181-L-3906,2018-10-05,2018,5,LIMERICK,TOYOTA,COROLLA,SALOON,WHITE,B,29665.0
181-W-2831,2018-11-01,2018,1,WATERFORD,BMW,3 SERIES,SALOON,WHITE,B,42287.0
201-W-1065,2020-06-02,2020,2,GALWAY,BMW,X3,SUV,WHITE,C,92578.0
181-D-949,2018-12-02,2018,2,GALWAY,OPEL,CROSSLAND X,SUV,RED,A,23344.0
202-D-4842,2018-07-07,2018,7,DUBLIN,OPEL,GRANDLAND X,SUV,SILVER,B,41318.0
191-L-1556,2019-01-17,2019,1,GALWAY,BMW,2 SERIES,COUPE,RED,B,101217.0
181-W-4765,2018-01-14,2018,1,GALWAY,MERCEDES,A-CLASS,SALOON,RED,B,45949.0
201-G-4378,2020-03-19,2020,3,GALWAY,TOYOTA,YARIS,HATCHBACK,WHITE,A,19789.0
181-G-4453,2018-07-06,2018,6,GALWAY,OPEL,ASTRA,HATCHBACK,WHITE,A,24762.0
181-C-4518,2018-02-22,2018,2,GALWAY,FORD,FIESTA,HATCHBACK,WHITE,A,28769.0
181-L-2997,2018-01-24,2018,1,LIMERICK,OPEL,GRANDLAND X,SUV,WHITE,B,47421.0
201-W-4494,2020-07-05,2020,5,WATERFORD,BMW,5 SERIES,ESTATE,WHITE,C,69144.0
201-G-4466,2018-01-24,2018,1,GALWAY,MAZDA,MAZDA6,ESTATE,WHITE,B,36938.0
181-L-2705,2018-12-01,2018,1,GALWAY,MAZDA,MAZDA3,SALOON,RED,B,36739.0
201-D-614,2020-08-02,2020,2,GALWAY,OPEL,INSIGNIA,HATCHBACK,WHITE,B,31844.0
201-W-2497,2018-08-06,2018,6,WATERFORD,TOYOTA,PRIUS,HATCHBACK,WHITE,B,34750.0
181-D-2869,2018-08-03,2018,3,DUBLIN,MAZDA,MAZDA6,SALOON,BLUE,B,33142.0
181-C-2407,2018-02-17,2018,2,CORK,TOYOTA,RAV4,SUV,WHITE,B,46711.0
201-G-2963,2018-05-03,2018,3,GALWAY,OPEL,INSIGNIA,HATCHBACK,SILVER,B,30385.0
202-D-3554,2020-12-07,2020,7,GALWAY,BMW,3 SERIES,ESTATE,RED,B,51512.0
192-D-3856,2019-11-11,2019,11,GALWAY,MAZDA,MAZDA6,SALOON,RED,B,34291.0
181-D-1303,2018-03-18,2018,3,GALWAY,MAZDA,CX-30,SUV,BLUE,B,32261.0
201-L-3950,2020-09-05,2020,5,GALWAY,TOYOTA,PRIUS,HATCHBACK,SILVER,B,34032.0
191-D-3774,2019-02-24,2019,2,DUBLIN,OPEL,CROSSLAND X,SUV,WHITE,A,25219.0
201-W-3961,2018-03-13,2018,3,WATERFORD,BMW,X3,SUV,WHITE,C,63031.0
202-W-1185,2019-07-13,2019,7,WATERFORD,OPEL,CROSSLAND X,SUV,BLUE,A,27529.0
181-G-2605,2018-02-05,2018,5,GALWAY,FORD,FOCUS,HATCHBACK,WHITE,A,33745.0
201-G-2659,2020-03-13,2020,3,GALWAY,MERCEDES,AMG-GT,HATCHBACK,WHITE,D,217164.0
181-D-1085,2018-05-04,2018,4,GALWAY,TOYOTA,RAV4,SUV,RED,B,41662.0
201-W-1630,2020-09-01,2020,1,GALWAY,FORD,FOCUS,ESTATE,RED,A,42049.0
181-C-2083,2018-01-26,2018,1,CORK,FORD,FOCUS,HATCHBACK,WHITE,A,35558.0
201-W-4927,2020-03-18,2020,3,GALWAY,OPEL,ASTRA,ESTATE,WHITE,B,29641.0
182-C-3097,2018-06-09,2018,9,GALWAY,MERCEDES,C-CLASS,SALOON,RED,B,114649.0
201-C-4189,2020-09-02,2020,2,CORK,FORD,FOCUS,HATCHBACK,SILVER,A,40805.0
202-D-1497,2020-07-13,2020,7,GALWAY,OPEL,GRANDLAND X,SUV,WHITE,B,51823.0
202-D-1411,2019-11-08,2019,8,DUBLIN,TOYOTA,COROLLA,SALOON,RED,B,29783.0
201-C-4875,2020-01-21,2020,1,CORK,AUDI,Q3,SUV,BLUE,B,43569.0
181-D-4971,2018-03-01,2018,1,GALWAY,BMW,X3,SUV,WHITE,C,79216.0
201-G-4815,2020-04-01,2020,1,GALWAY,AUDI,A4,SALOON,WHITE,B,55299.0
201-D-1562,2020-01-17,2020,1,DUBLIN,MERCEDES,C-CLASS,ESTATE,RED,B,93742.0
191-C-4056,2019-03-26,2019,3,GALWAY,OPEL,CORSA,HATCHBACK,RED,A,18899.0
201-G-4995,2018-09-04,2018,4,GALWAY,AUDI,A4,SALOON,RED,B,55410.0
191-G-1142,2019-07-01,2019,1,GALWAY,FORD,FOCUS,ESTATE,RED,A,24964.0
201-D-1102,2020-11-03,2020,3,DUBLIN,TOYOTA,COROLLA,SALOON,SILVER,B,30903.0
202-D-2992,2018-10-07,2018,7,DUBLIN,OPEL,ASTRA,ESTATE,SILVER,B,28024.0
192-D-3599,2019-07-22,2019,7,GALWAY,BMW,2 SERIES,COUPE,WHITE,B,123448.0
191-L-2548,2019-03-16,2019,3,LIMERICK,TOYOTA,RAV4,SUV,WHITE,B,47831.0
201-G-2546,2020-01-27,2020,1,GALWAY,FORD,MONDEO,SALOON,RED,B,34029.0
191-G-3271,2019-01-16,2019,1,GALWAY,AUDI,A4,ESTATE,BLUE,B,42616.0
201-C-2136,2019-06-22,2019,6,CORK,TOYOTA,RAV4,SUV,RED,B,48969.0
201-D-3820,2020-01-24,2020,1,GALWAY,FORD,FOCUS,HATCHBACK,BLUE,A,43327.0
181-G-4289,2018-11-03,2018,3,GALWAY,OPEL,CROSSLAND X,SUV,ORANGE,A,25629.0
192-W-705,2019-03-10,2019,10,GALWAY,BMW,2 SERIES,COUPE,WHITE,B,62042.0
181-D-4677,2018-09-01,2018,1,DUBLIN,TOYOTA,YARIS,HATCHBACK,ORANGE,A,16099.0
191-L-2979,2019-07-03,2019,3,LIMERICK,BMW,2 SERIES,COUPE,WHITE,B,84006.0
192-D-4158,2019-11-07,2019,7,DUBLIN,OPEL,ASTRA,ESTATE,WHITE,B,27896.0
191-D-4858,2019-09-01,2019,1,DUBLIN,OPEL,INSIGNIA,HATCHBACK,WHITE,B,30908.0
192-D-4048,2019-01-07,2019,7,GALWAY,MAZDA,MAZDA3,SALOON,RED,B,33174.0
201-D-1639,2018-02-19,2018,2,DUBLIN,OPEL,CORSA,HATCHBACK,WHITE,A,19405.0
201-G-3275,2018-01-17,2018,1,GALWAY,TOYOTA,YARIS,HATCHBACK,RED,A,19245.0
202-D-3720,2018-08-10,2018,10,DUBLIN,MERCEDES,AMG-GT,HATCHBACK,BLUE,D,167416.0
181-W-490,2018-02-16,2018,2,WATERFORD,OPEL,GRANDLAND X,SUV,WHITE,B,30235.0
192-L-1855,2019-12-08,2019,8,LIMERICK,MERCEDES,C-CLASS,SALOON,WHITE,B,62926.0
201-W-4164,2019-03-14,2019,3,WATERFORD,OPEL,ASTRA,HATCHBACK,WHITE,A,31638.0
202-C-3936,2020-05-07,2020,7,CORK,BMW,X3,SUV,BLUE,C,102418.0
201-L-349,2020-11-02,2020,2,GALWAY,AUDI,A4,ESTATE,BLUE,B,43718.0
201-G-2521,2020-01-21,2020,1,GALWAY,MAZDA,CX-5,SUV,WHITE,B,39429.0
201-L-3381,2019-01-15,2019,1,LIMERICK,MAZDA,MAZDA6,SALOON,WHITE,B,37541.0
201-L-3830,2020-06-13,2020,6,GALWAY,MERCEDES,C-CLASS,ESTATE,RED,B,66835.0
201-C-414,2020-01-18,2020,1,GALWAY,MAZDA,MAZDA3,SALOON,RED,B,35866.0
202-D-1023,2018-07-13,2018,7,DUBLIN,BMW,5 SERIES,ESTATE,WHITE,C,68751.0
202-L-3563,2020-09-07,2020,7,LIMERICK,TOYOTA,YARIS,HATCHBACK,WHITE,A,17359.0
181-D-660,2018-05-22,2018,5,GALWAY,MAZDA,CX-5,SUV,WHITE,B,37622.0
201-D-3785,2020-01-13,2020,1,GALWAY,OPEL,ASTRA,ESTATE,WHITE,B,26450.0
202-D-1104,2020-07-13,2020,7,DUBLIN,TOYOTA,PRIUS,HATCHBACK,BLUE,B,36122.0
201-G-2469,2018-01-23,2018,1,GALWAY,MERCEDES,C-CLASS,ESTATE,WHITE,B,114184.0
201-G-1315,2019-01-01,2019,1,GALWAY,MAZDA,MAZDA6,ESTATE,SILVER,B,41256.0
201-G-1538,2020-04-18,2020,4,GALWAY,BMW,3 SERIES,SALOON,WHITE,B,47871.0
201-D-4405,2020-01-01,2020,1,GALWAY,OPEL,ASTRA,HATCHBACK,SILVER,A,26079.0
201-G-1073,2020-07-03,2020,3,GALWAY,TOYOTA,RAV4,SUV,BLUE,B,36192.0
182-C-1457,2018-07-19,2018,7,GALWAY,OPEL,GRANDLAND X,SUV,RED,B,45615.0
201-G-4511,2020-02-27,2020,2,GALWAY,FORD,FOCUS,HATCHBACK,RED,A,42511.0
192-D-1189,2019-08-10,2019,10,GALWAY,TOYOTA,YARIS,HATCHBACK,RED,A,15699.0
201-G-1940,2020-01-17,2020,1,GALWAY,TOYOTA,COROLLA,HATCHBACK,WHITE,B,32492.0
201-C-4981,2020-01-26,2020,1,GALWAY,OPEL,ASTRA,ESTATE,RED,B,25436.0
192-C-3105,2019-01-08,2019,8,GALWAY,TOYOTA,COROLLA,SALOON,RED,B,31058.0
181-C-1675,2018-01-17,2018,1,GALWAY,FORD,FIESTA,HATCHBACK,RED,A,26671.0
202-D-1322,2018-08-16,2018,8,DUBLIN,MAZDA,MAZDA6,ESTATE,RED,B,41420.0
201-D-4394,2018-06-01,2018,1,DUBLIN,FORD,FOCUS,ESTATE,WHITE,A,27728.0
202-D-4173,2020-04-07,2020,7,DUBLIN,OPEL,ASTRA,ESTATE,WHITE,B,28424.0
202-L-1327,2020-05-07,2020,7,LIMERICK,MAZDA,MAZDA3,SALOON,RED,B,33519.0
192-D-1658,2019-07-22,2019,7,DUBLIN,MERCEDES,A-CLASS,SALOON,RED,B,42946.0
181-D-686,2018-04-13,2018,4,GALWAY,BMW,2 SERIES,COUPE,RED,B,36526.0
201-W-2889,2020-02-21,2020,2,WATERFORD,BMW,3 SERIES,ESTATE,WHITE,B,65416.0
202-G-417,2019-07-26,2019,7,GALWAY,MERCEDES,A-CLASS,SALOON,WHITE,B,50603.0
181-D-4123,2018-01-13,2018,1,GALWAY,TOYOTA,RAV4,SUV,SILVER,B,38304.0
181-C-1704,2018-02-20,2018,2,CORK,TOYOTA,RAV4,SUV,WHITE,B,42874.0
191-G-3709,2019-09-02,2019,2,GALWAY,BMW,3 SERIES,SALOON,RED,B,40763.0
201-C-4159,2020-01-20,2020,1,CORK,TOYOTA,COROLLA,SALOON,WHITE,B,30590.0
191-D-3805,2019-03-01,2019,1,GALWAY,BMW,3 SERIES,SALOON,RED,B,41409.0
192-D-3688,2019-08-27,2019,8,DUBLIN,FORD,KUGA,SUV,ORANGE,B,35842.0
181-L-722,2018-01-16,2018,1,LIMERICK,MAZDA,CX-5,SUV,SILVER,B,39851.0
192-C-167,2019-07-24,2019,7,CORK,TOYOTA,COROLLA,HATCHBACK,BLUE,B,29430.0
201-D-941,2020-03-22,2020,3,GALWAY,MERCEDES,C-CLASS,SALOON,WHITE,B,75048.0
192-C-2213,2019-07-07,2019,7,CORK,FORD,MONDEO,HATCHBACK,RED,B,32752.0
201-D-2244,2018-11-02,2018,2,DUBLIN,AUDI,A4,ESTATE,RED,B,46205.0
201-L-3330,2020-12-02,2020,2,LIMERICK,FORD,FOCUS,HATCHBACK,WHITE,A,28883.0
201-C-1023,2020-07-01,2020,1,CORK,OPEL,INSIGNIA,HATCHBACK,ORANGE,B,37079.0
201-W-4743,2020-09-01,2020,1,WATERFORD,TOYOTA,COROLLA,SALOON,BLUE,B,30898.0
191-W-1573,2019-12-01,2019,1,GALWAY,BMW,3 SERIES,HATCHBACK,BLUE,C,65130.0
202-G-1869,2018-10-07,2018,7,GALWAY,MAZDA,MAZDA3,HATCHBACK,WHITE,B,32720.0
181-D-2737,2018-01-16,2018,1,GALWAY,FORD,FIESTA,HATCHBACK,WHITE,A,21328.0
182-G-222,2018-07-22,2018,7,GALWAY,OPEL,CORSA,HATCHBACK,BLUE,A,22513.0
202-G-1934,2018-07-20,2018,7,GALWAY,OPEL,CROSSLAND X,SUV,WHITE,A,25213.0
201-L-2910,2020-01-18,2020,1,GALWAY,MAZDA,MAZDA6,ESTATE,WHITE,B,43971.0
182-G-3769,2018-07-15,2018,7,GALWAY,MERCEDES,A-CLASS,SALOON,BLUE,B,42832.0
201-C-4718,2020-09-01,2020,1,CORK,TOYOTA,COROLLA,HATCHBACK,WHITE,B,31486.0
181-W-1281,2018-01-27,2018,1,WATERFORD,AUDI,Q3,SUV,WHITE,B,41430.0
181-D-3353,2018-08-01,2018,1,DUBLIN,OPEL,CORSA,HATCHBACK,WHITE,A,17872.0
201-G-267,2020-01-13,2020,1,GALWAY,MAZDA,MAZDA6,SALOON,WHITE,B,40286.0
201-G-3170,2020-04-17,2020,4,GALWAY,MAZDA,CX-5,SUV,RED,B,45195.0
181-L-4072,2018-04-22,2018,4,GALWAY,OPEL,ASTRA,HATCHBACK,BLUE,A,25955.0
201-D-4616,2020-01-19,2020,1,DUBLIN,MAZDA,MAZDA6,ESTATE,BLUE,B,36906.0
181-D-3975,2018-12-01,2018,1,DUBLIN,MERCEDES,A-CLASS,HATCHBACK,RED,B,37811.0
201-D-4991,2020-05-14,2020,5,DUBLIN,MERCEDES,AMG-GT,HATCHBACK,RED,D,165945.0
191-D-2918,2019-01-14,2019,1,DUBLIN,OPEL,INSIGNIA,HATCHBACK,WHITE,B,29482.0
181-G-3521,2018-01-19,2018,1,GALWAY,FORD,FIESTA,HATCHBACK,BLUE,A,20679.0
201-L-3563,2020-08-01,2020,1,GALWAY,MERCEDES,C-CLASS,ESTATE,WHITE,B,56749.0
181-C-4618,2018-01-25,2018,1,GALWAY,AUDI,A6,SALOON,WHITE,C,81720.0
181-W-3321,2018-06-01,2018,1,WATERFORD,FORD,FOCUS,HATCHBACK,WHITE,A,37080.0
182-D-4479,2018-07-27,2018,7,GALWAY,AUDI,A4,ESTATE,WHITE,B,43729.0
191-L-201,2019-01-15,2019,1,GALWAY,MAZDA,MAZDA6,SALOON,RED,B,34785.0
191-W-986,2019-03-13,2019,3,GALWAY,FORD,FOCUS,HATCHBACK,WHITE,A,40222.0
201-C-383,2020-07-04,2020,4,CORK,OPEL,GRANDLAND X,SUV,WHITE,B,30274.0
202-C-3368,2020-08-17,2020,8,GALWAY,FORD,FIESTA,HATCHBACK,RED,A,27992.0
201-W-4649,2020-01-13,2020,1,GALWAY,MERCEDES,A-CLASS,HATCHBACK,RED,B,61468.0
201-D-4224,2020-03-22,2020,3,DUBLIN,OPEL,ASTRA,ESTATE,WHITE,B,26945.0
181-D-2486,2018-12-01,2018,1,DUBLIN,MAZDA,MAZDA6,SALOON,BLUE,B,42808.0
181-L-3396,2018-12-03,2018,3,GALWAY,BMW,X3,SUV,RED,C,93307.0
201-D-3873,2020-01-18,2020,1,DUBLIN,OPEL,INSIGNIA,HATCHBACK,WHITE,B,29429.0
182-L-1423,2018-10-22,2018,10,LIMERICK,MERCEDES,C-CLASS,SALOON,ORANGE,B,112393.0
201-C-2476,2019-03-15,2019,3,CORK,MAZDA,CX-5,SUV,RED,B,39614.0
201-D-2232,2020-01-15,2020,1,DUBLIN,AUDI,A4,SALOON,ORANGE,B,45169.0
201-G-2159,2020-08-01,2020,1,GALWAY,OPEL,CROSSLAND X,SUV,WHITE,A,25099.0
191-L-4450,2019-05-25,2019,5,GALWAY,OPEL,GRANDLAND X,SUV,RED,B,30961.0
191-W-1895,2019-08-01,2019,1,WATERFORD,TOYOTA,CAMERY,SALOON,RED,B,41709.0
181-C-3567,2018-01-19,2018,1,CORK,OPEL,INSIGNIA,HATCHBACK,WHITE,B,34566.0
191-D-4386,2019-04-04,2019,4,GALWAY,TOYOTA,CAMERY,SALOON,SILVER,B,40030.0
181-L-2633,2018-01-20,2018,1,LIMERICK,OPEL,ASTRA,HATCHBACK,ORANGE,A,27188.0
201-C-3611,2018-05-01,2018,1,CORK,MAZDA,MAZDA3,HATCHBACK,SILVER,B,32247.0
182-D-3668,2018-11-13,2018,11,GALWAY,OPEL,ASTRA,HATCHBACK,WHITE,A,25176.0
201-W-2917,2020-02-22,2020,2,WATERFORD,BMW,7 SERIES,SALOON,BLUE,D,130975.0
192-L-4387,2019-08-23,2019,8,LIMERICK,BMW,7 SERIES,SALOON,WHITE,D,217568.0
201-G-4734,2019-01-27,2019,1,GALWAY,AUDI,A4,SALOON,WHITE,B,52097.0
181-C-2575,2018-05-26,2018,5,GALWAY,OPEL,CORSA,HATCHBACK,WHITE,A,24954.0
191-D-550,2019-02-15,2019,2,DUBLIN,MERCEDES,A-CLASS,HATCHBACK,BLUE,B,48854.0
191-G-2973,2019-02-20,2019,2,GALWAY,MAZDA,MAZDA3,SALOON,BLUE,B,31433.0
181-G-3135,2018-01-14,2018,1,GALWAY,TOYOTA,RAV4,SUV,WHITE,B,49440.0
181-W-60,2018-01-21,2018,1,GALWAY,FORD,MONDEO,SALOON,BLUE,B,34908.0
201-D-4162,2018-09-03,2018,3,DUBLIN,TOYOTA,CAMERY,SALOON,RED,B,42703.0
201-D-509,2020-12-01,2020,1,DUBLIN,MAZDA,CX-30,SUV,RED,B,32084.0
191-D-3290,2019-01-27,2019,1,DUBLIN,MAZDA,CX-30,SUV,BLUE,B,29522.0
201-G-1336,2019-04-16,2019,4,GALWAY,MERCEDES,A-CLASS,SALOON,RED,B,39765.0
201-D-177,2020-02-18,2020,2,DUBLIN,TOYOTA,CAMERY,SALOON,WHITE,B,42275.0
192-D-505,2019-12-07,2019,7,DUBLIN,BMW,3 SERIES,SALOON,WHITE,B,52834.0
201-C-942,2018-01-19,2018,1,CORK,AUDI,Q7,SUV,BLUE,D,105556.0
201-D-2822,2019-03-13,2019,3,DUBLIN,MAZDA,MAZDA3,SALOON,BLUE,B,32832.0
201-L-1018,2018-05-18,2018,5,LIMERICK,TOYOTA,RAV4,SUV,RED,B,36860.0
191-C-1425,2019-01-27,2019,1,GALWAY,BMW,3 SERIES,SALOON,RED,B,53021.0
181-D-810,2018-05-25,2018,5,DUBLIN,MERCEDES,A-CLASS,SALOON,WHITE,B,54412.0
181-G-873,2018-07-02,2018,2,GALWAY,MERCEDES,GLC-CLASS,SUV,WHITE,C,51495.0
201-D-1166,2019-11-06,2019,6,DUBLIN,FORD,MONDEO,HATCHBACK,WHITE,B,31052.0
191-D-3392,2019-03-18,2019,3,DUBLIN,MAZDA,MAZDA3,HATCHBACK,WHITE,B,33850.0
202-D-1839,2020-07-20,2020,7,DUBLIN,MAZDA,CX-5,SUV,BLUE,B,49537.0
191-G-111,2019-11-01,2019,1,GALWAY,OPEL,CROSSLAND X,SUV,BLUE,A,23634.0
202-G-594,2019-07-25,2019,7,GALWAY,OPEL,CROSSLAND X,SUV,WHITE,A,27194.0
201-W-1011,2020-04-23,2020,4,WATERFORD,MAZDA,CX-30,SUV,WHITE,B,43502.0
191-D-3789,2019-03-03,2019,3,DUBLIN,OPEL,GRANDLAND X,SUV,SILVER,B,49151.0
181-W-2399,2018-01-26,2018,1,WATERFORD,OPEL,ASTRA,HATCHBACK,RED,A,26887.0
181-W-3316,2018-01-24,2018,1,GALWAY,MAZDA,MAZDA3,HATCHBACK,RED,B,30205.0
202-W-2263,2019-07-15,2019,7,WATERFORD,TOYOTA,COROLLA,HATCHBACK,ORANGE,B,31006.0
181-L-1575,2018-03-27,2018,3,LIMERICK,FORD,MONDEO,SALOON,RED,B,35363.0
182-G-3148,2018-07-17,2018,7,GALWAY,MAZDA,MAZDA6,ESTATE,SILVER,B,38612.0
202-C-2432,2020-07-15,2020,7,CORK,MERCEDES,GLC-CLASS,SUV,SILVER,C,129680.0
201-C-4343,2020-01-15,2020,1,GALWAY,TOYOTA,YARIS,HATCHBACK,BLUE,A,18181.0
201-L-3931,2020-02-02,2020,2,LIMERICK,TOYOTA,CAMERY,SALOON,WHITE,B,39888.0
192-D-455,2019-07-13,2019,7,DUBLIN,BMW,3 SERIES,SALOON,WHITE,B,72044.0
182-C-440,2018-05-07,2018,7,CORK,MERCEDES,C-CLASS,SALOON,WHITE,B,69191.0
192-D-4028,2019-08-07,2019,7,DUBLIN,TOYOTA,CAMERY,SALOON,BLUE,B,42809.0
201-D-2185,2020-01-27,2020,1,DUBLIN,OPEL,ASTRA,HATCHBACK,SILVER,A,26073.0
181-L-1654,2018-10-02,2018,2,GALWAY,TOYOTA,RAV4,SUV,BLUE,B,46584.0
201-C-2519,2018-04-03,2018,3,CORK,FORD,MONDEO,SALOON,WHITE,B,36258.0
201-D-3660,2020-01-18,2020,1,GALWAY,OPEL,ASTRA,HATCHBACK,RED,A,28685.0
182-C-2459,2018-11-07,2018,7,GALWAY,MAZDA,CX-30,SUV,RED,B,34600.0
191-D-3213,2019-03-18,2019,3,GALWAY,BMW,2 SERIES,COUPE,RED,B,91305.0
202-G-3934,2020-07-27,2020,7,GALWAY,TOYOTA,YARIS,HATCHBACK,SILVER,A,18158.0
