car_reg,purchase_date,county,make,model,type,colour,tax_band,price
181-g-2605,02 May,GALWAY,Ford : Focus,,Hatchback,WHITE,1,33745
XXX-X-2659,2020-03-13,Galway,Mercedes : AMG-GT (Hatchback),,,white,d,217164
181-D-1085,2018-Apr-05,,Toyota,Rav4,SUV,Red,B,41662
201-W-1630,2020-Jan-09,,ford,FOCUS,Estate,#FFFFFF,A,42049
181-C-2083,2018-Jan-26,Cork,ford,focus : hatchback,,<colour>White</colour>,A,35558
201-W-4927,2020-Mar-18,,Opel,Astra,Estate,White,B,29641
182-C-3097,2018-Sep-06,,Mercedes,C-Class,Saloon,Red,B,114649
201-c-4189,09 Feb,CORK,Ford : Focus,,Hatchback,SILVER,1,40805
202-D-1497,2020-Jul-13,,Opel,Grandland X,SUV,White,B,51823
XXX-X-1411,2019-08-11,Dublin,Toyota : Corolla (Saloon),,,red,b,29783
XXX-X-4875,2020-01-21,Cork,Audi : Q3 (SUV),,,blue,b,43569
181-D-4971,2018-Jan-03,,BMW,X3,SUV,White,C,79216
201-g-4815,04 Jan,GALWAY,Audi : A4,,Saloon,WHITE,2,55299
201-d-1562,17 Jan,DUBLIN,Mercedes : C-Class,,Estate,RED,2,93742
191-C-4056,2019-Mar-26,,Opel,Corsa,Hatchback,Red,A,18899
XXX-X-4995,2018-04-09,Galway,Audi : A4 (Saloon),,,red,b,55410
191-G-1142,2019-Jan-07,Galway,ford,focus : estate,,<colour>Red</colour>,A,24964
201-d-1102,11 Mar,DUBLIN,Toyota : Corolla,,Saloon,SILVER,2,30903
XXX-X-2992,2018-07-10,Dublin,Opel : Astra (Estate),,,silver,b,28024
192-D-3599,2019-Jul-22,,BMW,2 series,Coupe,White,B,123448
191-L-2548,2019-Mar-16,Limerick,toyota,rav4 : suv,,<colour>White</colour>,B,47831
201-G-2546,2020-Jan-27,Galway,ford,mondeo : saloon,,<colour>Red</colour>,B,34029
191-G-3271,2019-Jan-16,,Audi,A4,Estate,Blue,B,42616
XXX-X-2136,2019-06-22,Cork,Toyota : Rav4 (SUV),,,red,b,48969
201-D-3820,2020-Jan-24,,Ford,Focus,Hatchback,Blue,A,43327
181-g-4289,11 Mar,GALWAY,Opel : Crossland X,,SUV,ORANGE,1,25629
192-W-705,2019-Oct-03,,BMW,2 series,Coupe,White,B,62042
181-d-4677,09 Jan,DUBLIN,Toyota : Yaris,,Hatchback,ORANGE,1,16099
191-L-2979,2019-Mar-07,Limerick,bmw,2 series : coupe,,<colour>White</colour>,B,84006
192-D-4158,2019-Jul-11,Dublin,opel,astra : estate,,<colour>White</colour>,B,27896
191-d-4858,09 Jan,DUBLIN,Opel : Insignia,,Hatchback,WHITE,2,30908
192-D-4048,2019-Jul-01,,mazda,MAZDA3,Saloon,#C0C0C0,B,33174
XXX-X-1639,2018-02-19,Dublin,Opel : Corsa (Hatchback),,,white,a,19405
XXX-X-3275,2018-01-17,Galway,Toyota : Yaris (Hatchback),,,red,a,19245
XXX-X-3720,2018-10-08,Dublin,Mercedes : AMG-GT (Hatchback),,,blue,d,167416
181-w-490,16 Feb,WATERFORD,Opel : Grandland X,,SUV,WHITE,2,30235
192-l-1855,12 Aug,LIMERICK,Mercedes : C-Class,,Saloon,WHITE,2,62926
XXX-X-4164,2019-03-14,Waterford,Opel : Astra (Hatchback),,,white,a,31638
XXX-X-3936,2020-07-05,Cork,BMW : X3 (SUV),,,blue,c,102418
201-L-349,2020-Feb-11,,Audi,A4,Estate,Blue,B,43718
201-G-2521,2020-Jan-21,,Mazda,CX-5,SUV,White,B,39429
XXX-X-3381,2019-01-15,Limerick,Mazda : Mazda6 (Saloon),,,white,b,37541
201-L-3830,2020-Jun-13,,Mercedes,C-Class,Estate,Red,B,66835
201-C-414,2020-Jan-18,,mazda,MAZDA3,Saloon,#FFFFFF,B,35866
XXX-X-1023,2018-07-13,Dublin,BMW : 5 Series (Estate),,,white,c,68751
XXX-X-3563,2020-07-09,Limerick,Toyota : Yaris (Hatchback),,,white,a,17359
181-D-660,2018-May-22,,Mazda,CX-5,SUV,White,B,37622
201-D-3785,2020-Jan-13,,Opel,Astra,Estate,White,B,26450
202-d-1104,13 Jul,DUBLIN,Toyota : Prius,,Hatchback,BLUE,2,36122
XXX-X-2469,2018-01-23,Galway,Mercedes : C-Class (Estate),,,white,b,114184
XXX-X-1315,2019-01-01,Galway,Mazda : Mazda6 (Estate),,,silver,b,41256
201-g-1538,18 Apr,GALWAY,BMW : 3 Series,,Saloon,WHITE,2,47871
201-D-4405,2020-Jan-01,,Opel,Astra,Hatchback,Silver,A,26079
201-g-1073,07 Mar,GALWAY,Toyota : Rav4,,SUV,BLUE,2,36192
182-C-1457,2018-Jul-19,,opel,GRANDLAND X,SUV,#FFFFFF,B,45615
201-g-4511,27 Feb,GALWAY,Ford : Focus,,Hatchback,RED,1,42511
192-D-1189,2019-Oct-08,,Toyota,Yaris,Hatchback,Red,A,15699
201-g-1940,17 Jan,GALWAY,Toyota : Corolla,,Hatchback,WHITE,2,32492
201-C-4981,2020-Jan-26,,Opel,Astra,Estate,Red,B,25436
192-C-3105,2019-Aug-01,,toyota,COROLLA,Saloon,#FFFFFF,B,31058
181-C-1675,2018-Jan-17,,Ford,Fiesta,Hatchback,Red,A,26671
XXX-X-1322,2018-08-16,Dublin,Mazda : Mazda6 (Estate),,,red,b,41420
XXX-X-4394,2018-01-06,Dublin,Ford : Focus (Estate),,,white,a,27728
202-D-4173,2020-Jul-04,Dublin,opel,astra : estate,,<colour>White</colour>,B,28424
202-l-1327,05 Jul,LIMERICK,Mazda : Mazda3,,Saloon,RED,2,33519
192-d-1658,22 Jul,DUBLIN,Mercedes : A-Class,,Saloon,RED,2,42946
181-D-686,2018-Apr-13,,bmw,2 SERIES,Coupe,#FFFFFF,B,36526
201-w-2889,21 Feb,WATERFORD,BMW : 3 Series,,Estate,WHITE,2,65416
XXX-X-417,2019-07-26,Galway,Mercedes : A-Class (Saloon),,,white,b,50603
181-D-4123,2018-Jan-13,,Toyota,Rav4,SUV,Silver,B,38304
181-c-1704,20 Feb,CORK,Toyota : Rav4,,SUV,WHITE,2,42874
191-G-3709,2019-Feb-09,,bmw,3 SERIES,Saloon,#0000FF,B,40763
201-C-4159,2020-Jan-20,Cork,toyota,corolla : saloon,,<colour>White</colour>,B,30590
191-D-3805,2019-Jan-03,,BMW,3 Series,Saloon,Red,B,41409
192-D-3688,2019-Aug-27,Dublin,ford,kuga : suv,,<colour>Orange</colour>,B,35842
181-l-722,16 Jan,LIMERICK,Mazda : CX-5,,SUV,SILVER,2,39851
192-c-167,24 Jul,CORK,Toyota : Corolla,,Hatchback,BLUE,2,29430
201-D-941,2020-Mar-22,,Mercedes,C-Class,Saloon,White,B,75048
192-c-2213,07 Jul,CORK,Ford : Mondeo,,Hatchback,RED,2,32752
XXX-X-2244,2018-02-11,Dublin,Audi : A4 (Estate),,,red,b,46205
201-l-3330,12 Feb,LIMERICK,Ford : Focus,,Hatchback,WHITE,1,28883
XXX-X-1023,2020-01-07,Cork,Opel : Insignia (Hatchback),,,orange,b,37079
XXX-X-4743,2020-01-09,Waterford,Toyota : Corolla (Saloon),,,blue,b,30898
191-W-1573,2019-Jan-12,,BMW,3 Series,Hatchback,Blue,C,65130
XXX-X-1869,2018-07-10,Galway,Mazda : Mazda3 (Hatchback),,,white,b,32720
181-D-2737,2018-Jan-16,,Ford,Fiesta,Hatchback,White,A,21328
182-G-222,2018-Jul-22,Galway,opel,corsa : hatchback,,<colour>Blue</colour>,A,22513
XXX-X-1934,2018-07-20,Galway,Opel : Crossland X (SUV),,,white,a,25213
201-L-2910,2020-Jan-18,,Mazda,Mazda6,Estate,White,B,43971
182-G-3769,2018-Jul-15,,Mercedes,A-Class,Saloon,Blue,B,42832
201-c-4718,09 Jan,CORK,Toyota : Corolla,,Hatchback,WHITE,2,31486
181-W-1281,2018-Jan-27,Waterford,audi,q3 : suv,,<colour>White</colour>,B,41430
181-d-3353,08 Jan,DUBLIN,Opel : Corsa,,Hatchback,WHITE,1,17872
201-g-267,13 Jan,GALWAY,Mazda : Mazda6,,Saloon,WHITE,2,40286
201-G-3170,2020-Apr-17,,mazda,CX-5,SUV,#FFA500,B,45195
181-L-4072,2018-Apr-22,,Opel,Astra,Hatchback,Blue,A,25955
XXX-X-4616,2020-01-19,Dublin,Mazda : Mazda6 (Estate),,,blue,b,36906
181-d-3975,12 Jan,DUBLIN,Mercedes : A-Class,,Hatchback,RED,2,37811
201-d-4991,14 May,DUBLIN,Mercedes : AMG-GT,,Hatchback,RED,4,165945
191-d-2918,14 Jan,DUBLIN,Opel : Insignia,,Hatchback,WHITE,2,29482
181-G-3521,2018-Jan-19,,Ford,Fiesta,Hatchback,Blue,A,20679
201-L-3563,2020-Jan-08,,Mercedes,C-Class,Estate,White,B,56749
181-C-4618,2018-Jan-25,,Audi,A6,Saloon,White,C,81720
181-w-3321,06 Jan,WATERFORD,Ford : Focus,,Hatchback,WHITE,1,37080
182-D-4479,2018-Jul-27,,Audi,A4,Estate,White,B,43729
191-L-201,2019-Jan-15,,mazda,MAZDA6,Saloon,#C0C0C0,B,34785
191-W-986,2019-Mar-13,,Ford,Focus,Hatchback,White,A,40222
XXX-X-383,2020-04-07,Cork,Opel : Grandland X (SUV),,,white,b,30274
202-C-3368,2020-Aug-17,,ford,FIESTA,Hatchback,#0000FF,A,27992
201-W-4649,2020-Jan-13,,Mercedes,A-Class,Hatchback,Red,B,61468
XXX-X-4224,2020-03-22,Dublin,Opel : Astra (Estate),,,white,b,26945
181-D-2486,2018-Jan-12,Dublin,mazda,mazda6 : saloon,,<colour>Blue</colour>,B,42808
181-L-3396,2018-Mar-12,,bmw,X3,SUV,#FFA500,C,93307
XXX-X-3873,2020-01-18,Dublin,Opel : Insignia (Hatchback),,,white,b,29429
182-L-1423,2018-Oct-22,Limerick,mercedes,c-class : saloon,,<colour>Orange</colour>,B,112393
XXX-X-2476,2019-03-15,Cork,Mazda : CX-5 (SUV),,,red,b,39614
XXX-X-2232,2020-01-15,Dublin,Audi : A4 (Saloon),,,orange,b,45169
201-g-2159,08 Jan,GALWAY,Opel : Crossland X,,SUV,WHITE,1,25099
191-L-4450,2019-May-25,,Opel,Grandland X,SUV,Red,B,30961
191-w-1895,08 Jan,WATERFORD,Toyota : Camery,,Saloon,RED,2,41709
181-C-3567,2018-Jan-19,Cork,opel,insignia : hatchback,,<colour>White</colour>,B,34566
191-D-4386,2019-Apr-04,,Toyota,Camery,Saloon,Silver,B,40030
181-L-2633,2018-Jan-20,Limerick,opel,astra : hatchback,,<colour>Orange</colour>,A,27188
XXX-X-3611,2018-01-05,Cork,Mazda : Mazda3 (Hatchback),,,silver,b,32247
182-D-3668,2018-Nov-13,,Opel,Astra,Hatchback,White,A,25176
201-w-2917,22 Feb,WATERFORD,BMW : 7 Series,,Saloon,BLUE,4,130975
192-l-4387,23 Aug,LIMERICK,BMW : 7 Series,,Saloon,WHITE,4,217568
XXX-X-4734,2019-01-27,Galway,Audi : A4 (Saloon),,,white,b,52097
181-C-2575,2018-May-26,,Opel,Corsa,Hatchback,White,A,24954
191-D-550,2019-Feb-15,Dublin,mercedes,a-class : hatchback,,<colour>Blue</colour>,B,48854
191-G-2973,2019-Feb-20,,Mazda,Mazda3,Saloon,Blue,B,31433
181-G-3135,2018-Jan-14,,Toyota,Rav4,SUV,White,B,49440
181-W-60,2018-Jan-21,,Ford,Mondeo,Saloon,Blue,B,34908
XXX-X-4162,2018-03-09,Dublin,Toyota : Camery (Saloon),,,red,b,42703
XXX-X-509,2020-01-12,Dublin,Mazda : CX-30 (SUV),,,red,b,32084
191-d-3290,27 Jan,DUBLIN,Mazda : CX-30,,SUV,BLUE,2,29522
XXX-X-1336,2019-04-16,Galway,Mercedes : A-Class (Saloon),,,red,b,39765
201-d-177,18 Feb,DUBLIN,Toyota : Camery,,Saloon,WHITE,2,42275
192-D-505,2019-Jul-12,Dublin,bmw,3 series : saloon,,<colour>White</colour>,B,52834
XXX-X-942,2018-01-19,Cork,Audi : Q7 (SUV),,,blue,d,105556
XXX-X-2822,2019-03-13,Dublin,Mazda : Mazda3 (Saloon),,,blue,b,32832
XXX-X-1018,2018-05-18,Limerick,Toyota : Rav4 (SUV),,,red,b,36860
191-C-1425,2019-Jan-27,,BMW,3 Series,Saloon,Red,B,53021
181-D-810,2018-May-25,Dublin,mercedes,a-class : saloon,,<colour>White</colour>,B,54412
181-G-873,2018-Feb-07,,Mercedes,GLC-Class,SUV,White,C,51495
XXX-X-1166,2019-06-11,Dublin,Ford : Mondeo (Hatchback),,,white,b,31052
191-d-3392,18 Mar,DUBLIN,Mazda : Mazda3,,Hatchback,WHITE,2,33850
202-d-1839,20 Jul,DUBLIN,Mazda : CX-5,,SUV,BLUE,2,49537
191-G-111,2019-Jan-11,,Opel,Crossland X,SUV,Blue,A,23634
XXX-X-594,2019-07-25,Galway,Opel : Crossland X (SUV),,,white,a,27194
201-w-1011,23 Apr,WATERFORD,Mazda : CX-30,,SUV,WHITE,2,43502
191-d-3789,03 Mar,DUBLIN,Opel : Grandland X,,SUV,SILVER,2,49151
181-W-2399,2018-Jan-26,Waterford,opel,astra : hatchback,,<colour>Red</colour>,A,26887
181-W-3316,2018-Jan-24,,mazda,MAZDA3,Hatchback,#FF0000,B,30205
XXX-X-2263,2019-07-15,Waterford,Toyota : Corolla (Hatchback),,,orange,b,31006
181-L-1575,2018-Mar-27,Limerick,ford,mondeo : saloon,,<colour>Red</colour>,B,35363
182-g-3148,17 Jul,GALWAY,Mazda : Mazda6,,Estate,SILVER,2,38612
202-c-2432,15 Jul,CORK,Mercedes : GLC-Class,,SUV,SILVER,3,129680
201-C-4343,2020-Jan-15,,Toyota,Yaris,Hatchback,Blue,A,18181
XXX-X-3931,2020-02-02,Limerick,Toyota : Camery (Saloon),,,white,b,39888
192-D-455,2019-Jul-13,Dublin,bmw,3 series : saloon,,<colour>White</colour>,B,72044
182-C-440,2018-Jul-05,Cork,mercedes,c-class : saloon,,<colour>White</colour>,B,69191
192-D-4028,2019-Jul-08,Dublin,toyota,camery : saloon,,<colour>Blue</colour>,B,42809
201-D-2185,2020-Jan-27,Dublin,opel,astra : hatchback,,<colour>Silver</colour>,A,26073
181-L-1654,2018-Feb-10,,Toyota,Rav4,SUV,Blue,B,46584
XXX-X-2519,2018-03-04,Cork,Ford : Mondeo (Saloon),,,white,b,36258
201-D-3660,2020-Jan-18,,Opel,Astra,Hatchback,Red,A,28685
182-C-2459,2018-Jul-11,,Mazda,CX-30,SUV,Red,B,34600
191-D-3213,2019-Mar-18,,BMW,2 series,Coupe,Red,B,91305
202-G-3934,2020-Jul-27,,Toyota,Yaris,Hatchback,Silver,A,18158
201-C-1379,2020-Jan-27,Cork,toyota,camery : saloon,,<colour>White</colour>,B,40070
201-g-211,11 Jan,GALWAY,Opel : Astra,,Estate,WHITE,2,25635
201-G-1391,2020-Jan-18,Galway,mazda,cx-30 : suv,,<colour>Blue</colour>,B,33628
201-d-2522,12 Feb,DUBLIN,Opel : Astra,,Estate,WHITE,2,27508
XXX-X-1080,2019-07-24,Dublin,Ford : Mondeo (Saloon),,,white,b,36271
202-g-4402,12 Aug,GALWAY,Mercedes : C-Class,,Estate,WHITE,2,66702
202-c-4344,18 Jul,CORK,Ford : Kuga,,SUV,BLUE,2,49397
191-w-4650,05 Mar,WATERFORD,Opel : Crossland X,,SUV,WHITE,1,27651
202-G-1980,2020-Jul-07,,Mazda,CX-30,SUV,Red,B,29105
XXX-X-4843,2020-01-25,Dublin,Opel : Astra (Hatchback),,,silver,a,30341
191-W-2341,2019-Jan-21,,Opel,Astra,Estate,Silver,B,28544
191-W-1750,2019-Feb-02,,mercedes,A-CLASS,Saloon,#C0C0C0,B,63494
201-L-928,2020-Feb-26,,opel,INSIGNIA,Hatchback,#FF0000,B,35314
181-D-2129,2018-Feb-01,Dublin,mazda,cx-5 : suv,,<colour>Blue</colour>,B,31555
XXX-X-4581,2018-07-13,Dublin,Opel : Insignia (Hatchback),,,white,b,32622
191-D-814,2019-Jan-15,,ford,MUSTANG,Coupe,#FF0000,C,53541
191-D-3021,2019-Feb-21,Dublin,mercedes,c-class : estate,,<colour>White</colour>,B,118298
XXX-X-744,2018-01-24,Dublin,Toyota : Corolla (Saloon),,,blue,b,28571
181-G-4898,2018-May-21,,Audi,A6,Estate,Red,C,64553
191-D-707,2019-Jan-09,Dublin,audi,a4 : saloon,,<colour>White</colour>,B,44904
201-C-2029,2020-Jan-15,,BMW,7 Series,Saloon,White,D,231938
182-C-1447,2018-Jul-19,,opel,CROSSLAND X,SUV,#0000FF,A,26356
181-C-985,2018-Jan-11,,audi,A4,Saloon,#FFFFFF,B,43420
202-C-4212,2020-Jul-20,,BMW,3 Series,Saloon,Blue,B,46421
181-d-493,04 Feb,DUBLIN,Mazda : Mazda6,,Estate,SILVER,2,36422
181-d-2192,01 May,DUBLIN,Mercedes : A-Class,,Saloon,WHITE,2,33946
191-W-344,2019-Jan-21,,ford,MONDEO,Saloon,#C0C0C0,B,38735
181-l-3048,20 Feb,LIMERICK,Opel : Corsa,,Hatchback,WHITE,1,17210
201-G-224,2020-Jan-24,,Ford,Focus,Estate,White,A,38620
191-c-302,08 Jan,CORK,Mazda : Mazda3,,Hatchback,BLUE,2,31338
181-d-3576,22 Feb,DUBLIN,Mazda : Mazda3,,Saloon,SILVER,2,35985
201-c-1877,15 Jan,CORK,Opel : Grandland X,,SUV,WHITE,2,34234
191-l-4289,01 Feb,LIMERICK,Opel : Corsa,,Hatchback,SILVER,1,19915
191-d-2391,17 Jan,DUBLIN,Opel : Astra,,Estate,BLUE,2,25288
201-L-3956,2020-Feb-12,,Toyota,Corolla,Saloon,White,B,28610
XXX-X-1209,2020-03-07,Dublin,Toyota : Corolla (Hatchback),,,white,b,28326
192-D-2342,2019-Aug-19,,toyota,COROLLA,Hatchback,#FF0000,B,31076
201-l-474,27 Jan,LIMERICK,Opel : Crossland X,,SUV,WHITE,1,27249
202-D-1424,2020-Jul-07,,mazda,MAZDA6,Saloon,#FFFFFF,B,38548
201-W-2227,2020-Jan-06,,audi,Q3,SUV,#0000FF,B,42652
192-D-4448,2019-Nov-16,,Mercedes,A-Class,Hatchback,Blue,B,39436
192-c-663,08 Jul,CORK,Mercedes : A-Class,,Saloon,WHITE,2,37916
192-W-4717,2019-Jul-03,Waterford,bmw,3 series : estate,,<colour>White</colour>,B,72561
181-d-4244,19 Apr,DUBLIN,Audi : A4,,Saloon,RED,2,50457
181-C-4970,2018-Apr-27,Cork,audi,a4 : saloon,,<colour>Red</colour>,B,52749
181-C-3604,2018-Feb-23,,ford,FOCUS,Hatchback,#FFFFFF,A,40195
201-d-1045,04 Feb,DUBLIN,Mazda : Mazda6,,Saloon,WHITE,2,37999
201-d-1147,07 Feb,DUBLIN,Mazda : Mazda3,,Saloon,RED,2,36140
202-W-4342,2020-Jul-18,,mercedes,C-CLASS,Saloon,#FF0000,B,113590
XXX-X-3658,2020-02-22,Dublin,Mazda : CX-30 (SUV),,,blue,b,32035
201-D-2892,2020-Mar-03,,mercedes,GLC-CLASS,SUV,#0000FF,C,128592
181-G-2772,2018-Mar-21,Galway,toyota,prius : hatchback,,<colour>Red</colour>,B,35440
201-D-4936,2020-Jan-01,Dublin,bmw,2 series : coupe,,<colour>Red</colour>,B,89267
202-C-4236,2020-Jul-19,,Mercedes,GLC-Class,SUV,Red,C,109369
202-d-1075,19 Oct,DUBLIN,Toyota : Rav4,,SUV,RED,2,47381
181-D-2301,2018-Jan-17,Dublin,toyota,camery : saloon,,<colour>Blue</colour>,B,41271
192-C-3465,2019-Jul-13,,Toyota,Camery,Saloon,Orange,B,41957
XXX-X-3969,2019-03-12,Cork,Mazda : Mazda3 (Saloon),,,white,b,30622
191-W-3966,2019-May-13,,Mazda,Mazda6,Estate,Silver,B,41201
182-d-2734,05 Jul,DUBLIN,Mercedes : C-Class,,Estate,WHITE,2,43886
181-c-844,04 Apr,CORK,Ford : Mondeo,,Hatchback,WHITE,2,31432
192-W-2937,2019-Jul-21,,Ford,Focus,Estate,Red,A,29403
191-W-3463,2019-Mar-25,Waterford,ford,focus : hatchback,,<colour>White</colour>,A,40323
